date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer,user_two_id
2019-06-12 15:18:45.792258,12,points,1,A,1,terra,1,lense,0,True,58.400691986083984,0,True,-1
2019-06-12 15:19:03.003606,12,points,1,A,1,terra,1,lense,1,False,5.09341835975647,0,False,-1
2019-06-12 15:19:19.690225,12,points,1,A,1,terra,1,lense,2,False,5.680107355117798,0,False,-1
2019-06-12 15:19:29.943573,12,points,1,A,1,terra,1,lense,3,True,3.0204219818115234,0,True,-1
2019-06-12 15:19:44.327187,12,points,1,A,1,terra,1,lense,4,True,3.1584134101867676,0,True,-1
2019-06-12 15:19:55.231400,12,points,1,A,1,terra,1,lense,5,True,1.9196248054504395,0,True,-1
2019-06-12 15:20:06.746587,12,points,1,A,1,terra,1,lense,6,True,1.56809401512146,0,True,-1
2019-06-12 15:20:16.217528,12,points,1,A,1,terra,1,lense,7,False,2.3041443824768066,0,False,-1
2019-06-12 15:20:27.176581,12,points,1,A,1,terra,1,lense,8,True,1.1917309761047363,0,True,-1
2019-06-12 15:20:39.034215,12,points,1,A,1,terra,1,lense,9,True,1.3108034133911133,0,True,-1
2019-06-12 15:20:48.425928,12,points,1,A,1,terra,1,lense,10,False,1.0938246250152588,0,False,-1
2019-06-12 15:20:55.537323,12,points,1,A,1,terra,1,lense,11,False,0.9831840991973877,0,False,-1
2019-06-12 15:21:06.377000,12,points,1,A,1,terra,1,lense,12,False,1.62904691696167,0,False,-1
2019-06-12 15:21:13.961004,12,points,1,A,1,terra,1,lense,13,False,1.7599000930786133,0,False,-1
2019-06-12 15:21:21.656333,12,points,1,A,1,terra,1,lense,14,True,1.5683295726776123,0,True,-1
2019-06-12 15:21:28.743408,12,points,1,A,1,terra,1,lense,15,False,1.2158150672912598,0,False,-1
2019-06-12 15:21:37.350914,12,points,1,A,1,terra,1,lense,16,False,2.6324963569641113,0,False,-1
2019-06-12 15:21:50.843244,12,points,1,A,1,terra,1,lense,17,False,3.1442227363586426,0,False,-1
2019-06-12 15:22:04.831755,12,points,1,A,1,terra,1,lense,18,False,2.3355937004089355,0,False,-1
2019-06-12 15:22:13.878443,12,points,1,A,1,terra,1,lense,19,True,1.5272884368896484,0,True,-1
2019-06-12 15:22:26.635399,12,points,1,A,1,terra,1,lense,20,True,1.711550235748291,0,True,-1
2019-06-12 15:22:35.587110,12,points,1,A,1,terra,1,lense,21,False,1.9521467685699463,0,False,-1
2019-06-12 15:22:46.418457,12,points,1,A,1,terra,1,lense,22,True,2.129727363586426,0,True,-1
2019-06-12 15:22:53.215272,12,points,1,A,1,terra,1,lense,23,True,2.0972728729248047,0,True,-1
2019-06-12 15:23:02.759523,12,points,1,A,1,terra,1,lense,24,False,2.034942150115967,0,False,-1
